course,count,perc_MCQ
PHRM3052,2,80
PHRM2021,1,70
PHRM2040,1,70
PHRM2041,2,70
PHRM3041,1,70
PHRM3021,1,60.66666666666667
PHRM2030,1,60
PHRM2050,1,60
PHRM3012,1,60
PHRM3031,1,58.333333333333336
PHRM3032,1,58.333333333333336
PHRM2012,2,55.00000000000001
PHRM1012,1,55.00000000000001
PHRM2022,1,50.416666666666664
PHRM3042,1,50
BIOM3010,2,45
PHRM2011,1,45
PHRM3011,1,45
BIOM1052,2,44.54545454545454
PHRM1011,3,43.4
BIOM2010,2,42.5
CHEM1222,2,42
PHRM1020,1,42
